id,title,year,#votes,1,2,3,4,5,6,7,8,9,10
tt0133093,The Matrix,1999,1689821,16134,6516,8624,12597,25498,57403,166764,377474,506644,512167
tt5463162,Deadpool 2,2018,485668,4380,1944,2776,5373,14077,44057,115911,151424,80085,65641
tt2660888,Star Trek Beyond,2016,229786,2320,1291,2451,4914,13138,37971,76896,55993,19456,15356
tt7395114,The Devil All the Time,2020,96666,1068,618,1016,2008,5192,13953,31029,26268,9081,6433
tt11161474,Pieces of a Woman,2020,28020,477,227,302,616,1486,4426,9266,7018,2492,1710
tt6857112,Us,2019,232796,8958,4181,5982,9395,18379,38466,61419,50255,21030,14731
tt0458339,Captain America: The First Avenger,2011,747200,9335,5142,9166,19512,52320,140151,241449,152735,56509,60881
tt9686708,The King of Staten Island,2020,41299,761,294,408,726,1889,5710,13782,10984,3691,3054
tt0099685,Goodfellas,1990,1029802,6498,2353,3222,5170,11495,30097,101746,254026,324210,290985
tt2278388,The Grand Budapest Hotel,2014,715494,4913,2867,4061,7055,15561,41097,116342,225485,185232,112881
tt1706620,Snowpiercer,2013,325462,5170,3740,5831,9799,21221,48040,94244,82129,34643,20645
tt0371746,Iron Man,2008,946833,7089,2424,3758,7060,18792,59040,196330,343694,175919,132727
tt7713068,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,172889,9159,4581,6921,11552,22810,39220,38744,20638,7615,11649
tt8503618,Hamilton,2020,59519,2730,626,538,671,1115,2001,4607,9595,14049,23587
tt0361748,Inglourious Basterds,2009,1279685,15712,5996,7996,12415,23939,57669,165946,364578,372290,253144
tt1130884,Shutter Island,2010,1142220,5409,3259,4743,8793,19574,57034,170889,365852,305685,200982
tt3498820,Captain America: Civil War,2016,670866,9986,2948,4390,8005,20239,54423,135341,195431,129339,110764
tt0848228,The Avengers,2012,1268086,17627,5776,8125,14066,32858,81342,202949,336975,274595,293773
tt0050083,12 Angry Men,1957,696658,8337,1489,1735,2893,6323,15854,48637,134976,227267,249147
