id,title,year,#votes,1,2,3,4,5,6,7,8,9,10
tt2015381,Guardians of the Galaxy,2014,1050977,9868,4084,5858,10372,23342,63997,177322,315589,244804,195741
tt1825683,Black Panther,2018,633190,19960,6331,8309,14070,31740,74016,151751,154671,79637,92705
tt7286456,Joker,2019,961671,11939,4137,5228,8085,17028,40023,101421,204543,257395,311872
tt0816692,Interstellar,2014,1529789,12916,5649,7656,12349,24693,57691,150495,295253,416104,546983
tt10288566,Druk,2020,46374,300,134,200,368,980,3147,10447,16668,8746,5384
tt0106677,Dazed and Confused,1993,167233,1601,1058,1626,2896,6678,16152,37044,46051,25400,28727
tt6857376,Palmer,2021,18830,448,112,113,207,629,2057,5268,5233,2193,2570
tt1025100,Gemini Man,2019,89944,3052,2138,4031,7688,16975,25272,18016,7113,2180,3479
tt8367814,The Gentlemen,2019,249745,1556,787,1193,2241,5602,16038,50513,87743,51781,32291
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,1673963,27097,6941,8344,11072,22773,47005,133767,318311,463615,635038
tt0993846,The Wolf of Wall Street,2013,1203199,11728,5607,7604,11412,24373,61958,178082,354670,320536,227229
tt1375666,Inception,2010,2085244,17723,6964,8761,13523,27108,61084,175662,412089,632851,729479
tt8772262,Midsommar,2019,207354,8690,3819,4659,6967,13023,26298,51008,51599,25490,15801
tt0110912,Pulp Fiction,1994,1840861,25709,8969,10495,14295,27014,52452,141937,335618,545682,678690
tt10265034,Land,2021,1498,33,27,31,65,134,305,431,236,103,133
tt0120338,Titanic,1997,1054140,24815,8946,12552,18968,39788,84999,196220,255598,170920,241334
tt0974015,Justice League,2017,389789,12987,7484,12653,22994,46183,81460,91458,52663,21960,39947
tt7937254,Silk Road,2021,1548,72,36,51,106,267,465,337,123,28,63
tt11080108,The Map of Tiny Perfect Things,2021,9182,99,60,98,267,679,1832,2919,1744,715,769
tt0078788,Apocalypse Now,1979,610940,6128,2906,4068,6788,13456,30074,76748,146503,162622,161647
tt0109830,Forrest Gump,1994,1825816,12152,5983,7683,11778,22875,51511,152446,376537,557876,626975
tt1727824,Bohemian Rhapsody,2018,457801,3610,1657,2778,5709,12379,30269,71380,123806,104953,101260
tt0120689,The Green Mile,1999,1158371,5222,2589,3999,6661,14128,37557,122902,299158,360846,305309
tt11698630,Loco por ella,2021,2528,27,17,27,92,227,607,741,397,175,218
tt0107290,Jurassic Park,1993,874302,4133,2581,4175,7585,18492,51285,156664,287443,184176,157768
tt8597594,Adverse,2020,6883,206,104,108,114,125,348,1106,1959,1574,1239
tt3553976,Captain Fantastic,2016,192416,1248,667,884,1648,3936,12572,39490,67884,39018,25069
tt1431045,Deadpool,2016,910235,10968,4271,5915,9892,22021,60348,154472,259103,198895,184350
tt3774694,Love,2015,49415,2469,1493,1995,3340,6141,9098,9960,7070,3449,4400
tt8579674,1917,2019,441351,2170,919,1436,2511,6425,19681,64438,136197,127934,79640
tt0133093,The Matrix,1999,1689974,16134,6517,8625,12598,25503,57410,166779,377511,506682,512215
tt5463162,Deadpool 2,2018,485723,4381,1944,2777,5373,14075,44063,115922,151450,80086,65652
tt2660888,Star Trek Beyond,2016,229807,2320,1292,2451,4915,13140,37975,76903,55998,19456,15357
tt7395114,The Devil All the Time,2020,96732,1068,618,1016,2009,5198,13966,31043,26284,9091,6439
tt11161474,Pieces of a Woman,2020,28067,477,227,304,616,1489,4435,9280,7036,2493,1710
tt6857112,Us,2019,232846,8960,4180,5983,9396,18385,38479,61435,50263,21033,14732
tt12676326,Malcolm & Marie,2021,24472,798,357,506,1044,2079,4302,6225,4842,2028,2291
tt0458339,Captain America: The First Avenger,2011,747281,9335,5143,9165,19513,52322,140159,241480,152755,56517,60892
tt9686708,The King of Staten Island,2020,41320,761,296,410,725,1889,5713,13786,10990,3694,3056
tt0099685,Goodfellas,1990,1029899,6498,2353,3222,5170,11497,30099,101754,254058,324242,291006
tt10362466,After We Collided,2020,19570,1917,1023,1207,1581,2300,2233,1814,1326,874,5295
tt2278388,The Grand Budapest Hotel,2014,715577,4913,2868,4061,7055,15561,41101,116352,225501,185262,112903
tt1706620,Snowpiercer,2013,325492,5168,3741,5831,9802,21221,48045,94257,82134,34646,20647
tt11032374,Kimetsu no Yaiba: Mugen Ressha-Hen,2020,4936,146,11,21,25,60,121,303,588,705,2956
tt0371746,Iron Man,2008,946925,7089,2424,3757,7064,18793,59044,196353,343719,175938,132744
tt7713068,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,172946,9163,4584,6925,11553,22817,39232,38757,20647,7616,11652
tt8503618,Hamilton,2020,59565,2731,626,539,672,1115,2004,4608,9606,14058,23606
tt0361748,Inglourious Basterds,2009,1279812,15714,5997,7997,12418,23941,57678,165964,364604,372321,253178
tt1130884,Shutter Island,2010,1142355,5410,3259,4742,8795,19578,57037,170905,365880,305727,201022
tt3498820,Captain America: Civil War,2016,670955,9986,2948,4390,8006,20241,54436,135356,195454,129359,110779
tt0848228,The Avengers,2012,1268199,17627,5777,8126,14066,32863,81350,202969,337008,274625,293788
tt0050083,12 Angry Men,1957,696725,8339,1490,1735,2894,6324,15854,48641,134988,227290,249170
tt0407887,The Departed,2006,1199354,8565,2980,3880,6690,14945,40484,134733,331088,381341,274648
tt4566758,Mulan,2020,114184,15450,4482,5608,8282,14392,20291,18408,11243,5201,10827
tt4123430,Fantastic Beasts: The Crimes of Grindelwald,2018,226537,3629,2861,5313,10595,23283,49431,63422,36844,13841,17318
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,2019,380383,20535,9160,13234,19708,34799,60121,83308,67443,35314,36761
tt2584384,Jojo Rabbit,2019,306727,2741,1217,1712,2931,6837,20129,57941,102435,66013,44771
tt2250912,Spider-Man: Homecoming,2017,519896,7106,2559,3652,6846,18279,54554,148907,160183,66013,51797
tt0116629,Independence Day,1996,530255,10329,6926,10525,17889,37557,86089,155542,113694,47548,44156
tt1477834,Aquaman,2018,376946,8889,4800,7931,13865,28060,57109,95422,80508,37305,43057
tt6902332,The Marksman,2021,2119,75,46,93,149,311,483,400,207,72,283
tt0482571,The Prestige,2006,1200338,5432,2100,2942,5992,13832,40783,137931,324652,379611,287063
tt5052448,Get Out,2017,498861,6691,2452,3625,6181,14280,39389,112531,167567,89283,56862
tt1485796,The Greatest Showman,2017,242566,2306,1509,2505,4672,9988,22379,45444,58252,38829,56682
tt6571548,The White Tiger,2021,33934,1272,277,335,502,1377,4352,10998,8896,3165,2760
tt0083658,Blade Runner,1982,698294,6232,3815,5730,9747,20677,47353,106222,174188,157922,166408
tt0099348,Dances with Wolves,1990,242227,2127,1138,1757,2931,6433,15393,42200,77547,50406,42295
tt0144084,American Psycho,2000,497160,4124,2785,4202,7912,18109,48029,120896,154559,78193,58351
tt4479380,SAS: Red Notice,2021,1525,305,117,114,146,180,157,106,75,41,284
tt3794354,Sonic the Hedgehog,2020,92825,1291,849,1688,3632,9207,21591,28214,13781,4625,7947
tt0078748,Alien,1979,793746,4431,2083,2998,5446,12486,32936,106033,223822,224198,179313
tt1386697,Suicide Squad,2016,606063,24706,19111,29162,47279,81855,125806,123828,71296,29877,53143
tt0120815,Saving Private Ryan,1998,1245468,8917,3911,5107,8094,16954,42579,133159,317370,388885,320492
tt6320628,Spider-Man: Far from Home,2019,331596,3490,1403,2258,4247,11756,34864,87709,101280,47740,36849
tt0172495,Gladiator,2000,1351197,7336,3776,5635,9550,20887,51676,153947,344417,400345,353628
tt3896198,Guardians of the Galaxy Vol. 2,2017,576355,4482,2128,3382,7137,18156,56235,143545,179380,91804,70106
tt2543164,Arrival,2016,600337,6418,3164,4571,7722,17162,44997,112330,184888,134585,84500
tt0800369,Thor,2011,753386,7297,4645,8700,18535,48009,127643,250060,166201,60042,62254
tt1211837,Doctor Strange,2016,605443,4273,1953,3312,7245,20778,63403,164869,191319,84753,63538
tt1250777,Kick-Ass,2010,527019,6520,3170,4609,8527,19142,50038,124792,163761,83276,63184
tt7149730,The Silencing,2020,13204,240,144,235,609,1792,4249,3707,1326,370,532
tt1300854,Iron Man Three,2013,761507,10213,4721,8808,17061,42598,111585,219352,185264,78931,82974
tt4126476,After,2019,39916,3384,1957,2544,3547,5629,6134,4745,3159,1769,7048
tt10676012,To All the Boys: Always and Forever,2021,13545,330,224,337,738,1656,3455,3302,1715,610,1178
tt1981677,Pitch Perfect,2012,278285,3551,1997,3181,6136,15174,38149,75021,63288,31013,40775
tt0087538,The Karate Kid,1984,200222,1108,825,1465,3177,9188,27040,64913,50139,19726,22641
tt1273235,Srpski film,2010,58110,10352,2964,3466,4722,7100,8190,7904,5557,2694,5161
tt1392170,The Hunger Games,2012,848525,13849,6157,9774,18615,42769,105097,228610,212603,99657,111394
tt10919380,Freaky,2020,26559,721,359,664,1212,3216,6983,7544,3364,1033,1463
tt1051906,The Invisible Man,2020,172545,2661,1444,2322,4166,10054,26240,55721,44357,15520,10060
tt0477348,No Country for Old Men,2007,864691,12156,4919,6475,10224,21519,49939,133075,252972,220569,152843
tt0086250,Scarface,1983,747880,5176,2381,3683,6331,13336,35391,106478,218490,192771,163843
tt0089218,The Goonies,1985,246300,1531,1088,1809,3558,8357,21826,50551,70645,37917,49018
tt0137523,Fight Club,1999,1869634,17508,6984,8652,12732,24911,53436,153472,374717,576552,640670
tt4263482,The VVitch: A New-England Folktale,2015,207350,7713,4013,5717,8807,16281,30228,48897,46100,23201,16393
tt1392190,Mad Max: Fury Road,2015,889737,12836,6403,8765,13322,26306,59398,139068,235548,211945,176146
tt3385516,X-Men: Apocalypse,2016,396553,4333,2807,5758,12761,30818,72946,121588,83897,31309,30336
tt0083929,Fast Times at Ridgemont High,1982,95467,856,657,1046,2070,5381,14166,28575,23016,9858,9842
